"","RECORD_ID","Parcel number","Registered units","TrueRoll unit count"
"164","001-0100243","766010-0160",20,9
"165","001-0100244","277060-2910",117,25
"166","001-0100244","DV0075-102",117,NA
"167","001-0100245","859040-0465",74,NA
"168","001-0100247","532920-0040",10,NA
"169","001-0100248","674670-0930",99,NA
"170","001-0100248","674670-0935",99,NA
"171","001-0100252","524780-0090",46,1
"172","001-0100258","202504-9036",18,6
"173","001-0100261","277160-1615",14,2
"174","001-0100262","387690-0150",13,1
"175","001-0100263","336240-0405",13,2
"176","001-0100266","197220-1560",32,18
"177","001-0100267","277060-3575",14,8
"178","001-0100268","881640-0420",22,7
"179","001-0100270","663230-0590",548,4
"180","001-0100270","663230-0590",548,4
"181","001-0100270","663230-0590",548,4
"182","001-0100272","095200-8165",62,12
"183","001-0100273","387690-0110",18,1
"184","001-0100274","766620-2540",208,NA
"185","001-0100274","DV0013-373",208,NA
"186","001-0100275","186540-0005",15,1
"187","001-0100276","679810-0665",12,NA
"188","001-0100278","409230-1205",20,NA
"189","001-0100279","952310-1570",10,4
"190","001-0100280","085000-0270",6,1
"191","001-0100281","198820-1580",12,NA
"192","001-0100282","524780-2315",46,NA
"193","001-0100282","524780-2315",46,NA
"194","001-0100286","290220-0790",10,1
"195","001-0100287","114200-0890",23,1
"196","001-0100288","219760-0350",47,NA
"197","001-0100289","219760-0145",27,15
"198","001-0100289","DV0015-052",27,NA
"199","001-0100290","196520-0070",18,4
"200","001-0100292","197220-0835",13,2
"201","001-0100294","600300-1600",12,1
"202","001-0100294","DV0016-673",12,NA
"203","001-0100295","065300-0130",58,3
"204","001-0100295","DV0013-387",58,NA
"205","001-0100296","069600-0325",30,NA
"206","001-0100297","685170-0045",1,NA
"207","001-0100300","545780-0450",13,1
"208","001-0100301","114200-1455",20,3
"209","001-0100302","982670-1545",14,2
"210","001-0100303","882390-2435",41,9
"211","001-0100305","922140-0375",2,NA
"212","001-0100306","922140-0385",1,NA
"213","001-0100307","723460-1035",34,3
"214","001-0100308","277060-4050",27,NA
"215","001-0100309","314860-0105",15,NA
"216","001-0100310","198920-1170",45,3
"217","001-0100311","198520-0070",116,46
"218","001-0100313","219760-0710",35,2
"219","001-0100314","545780-1275",19,NA
"220","001-0100315","066000-1170",325,46
"221","001-0100318","569350-0386",10,8
"222","001-0100319","569350-0105",8,1
"223","001-0100321","684820-0285",20,13
"224","001-0100323","198920-0815",166,66
"225","001-0100324","952810-2750",30,14
"226","001-0100325","723460-0755",12,NA
"227","001-0100326","197620-0075",284,4
"228","001-0100327","766620-2465",174,3
"229","001-0100328","276770-0655",287,79
"230","001-0100329","867900-0130",1,NA
"231","001-0100330","135530-0034",32,NA
"232","001-0100331","206110-0030",15,1
"233","001-0100332","882290-0355",16,6
"234","001-0100334","783680-0005",117,25
"235","001-0100335","859090-0145",51,4
"236","001-0100336","925690-0020",105,NA
"237","001-0100337","983120-0610",11,1
"238","001-0100338","600300-2075",104,NA
"239","001-0100339","198920-0865",102,41
"240","001-0100340","723460-0705",14,2
"241","001-0100341","952810-3901",13,NA
"242","001-0100342","545780-1380",51,8
"243","001-0100343","290220-0725",9,2
"244","001-0100345","011700-0320",15,4
"245","001-0100346","099300-0215",10,1
"246","001-0100354","684820-0705",34,1
"247","001-0100364","891100-0185",2,NA
"248","001-0100365","291970-0045",9,NA
"249","001-0100366","891100-0147",23,NA
"250","001-0100367","113900-0477",2,NA
"251","001-0100368","569450-0890",10,2
"252","001-0100371","181880-0012",12,NA
"253","001-0100371","181880-0012",12,NA
"254","001-0100372","292604-9148",27,NA
"255","001-0100373","292604-9034",27,NA
"256","001-0100374","292604-9166",24,18
"257","001-0100375","276770-1580",22,5
"258","001-0100376","367940-1000",10,4
"259","001-0100377","276020-0030",6,NA
"260","001-0100378","197220-2000",16,6
"261","001-0100379","276770-4780",10,NA
"262","001-0100380","196520-0090",11,3
"263","001-0100381","565260-0299",26,13
"264","001-0100384","794260-1295",15,3
"265","001-0100388","114200-1150",30,NA
"266","001-0100389","723460-1230",131,32
"267","001-0100390","955020-2100",17,1
"268","001-0100395","362603-9001",273,30
"269","001-0100395","362603-9001",273,30
"270","001-0100396","891100-0330",56,NA
"271","001-0100396","DV0071-623",56,NA
"272","001-0100404","859090-0455",107,10
"273","001-0100406","929730-2045",60,23
"274","001-0100406","DV0033-566",60,NA
"275","001-0100407","290220-0210",11,NA
"276","001-0100409","197720-0950",249,76
"277","001-0100410","524780-1370",254,NA
"278","001-0100410","DV0082-197",254,NA
"279","001-0100411","133730-0320",10,NA
"280","001-0100412","094200-0460",60,3
"281","001-0100414","277110-8040",31,6
"282","001-0100422","095500-0600",14,NA
"283","001-0100448","600300-1615",14,1
"284","001-0100448","600300-1615",14,1
"285","001-0100449","685270-0440",12,1
"286","001-0100449","685270-0440",12,1
"287","001-0100450","197720-0030",55,6
"288","001-0100451","524780-1990",54,1
"289","001-0100452","600300-1695",10,1
"290","001-0100453","808090-0095",13,1
"291","001-0100454","602150-3395",53,NA
"292","001-0100458","713230-0190",60,NA
"293","001-0100458","DV0063-166",60,NA
"294","001-0100468","069600-0055",187,48
"295","001-0100468","DV0055-279",187,NA
"296","001-0100470","684820-0140",15,3
"297","001-0100471","276770-3445",38,4
"298","001-0100472","145360-1121",28,2
"299","001-0100473","600300-2130",34,NA
"300","001-0100474","952410-0270",15,NA
"301","001-0100475","564960-0335",30,NA
"302","001-0100477","545730-0280",48,10
"303","001-0100478","216390-0230",10,4
"304","001-0100479","197220-0465",5,NA
"305","001-0100480","110500-0115",60,7
"306","001-0100481","545780-1870",17,2
"307","001-0100485","065900-0610",366,60
"308","001-0100486","766370-0821",72,11
"309","001-0100487","173180-0530",28,1
"310","001-0100488","312604-9122",50,7
"311","001-0100490","795400-0005",38,NA
"312","001-0100491","276760-3745",10,NA
"313","001-0100493","000240-0002",91,NA
"314","001-0100493","DV0094-857",91,NA
"315","001-0100494","795300-0000",496,NA
"316","001-0100494","DV0078-423",496,NA
"317","001-0100499","162404-9282",21,NA
"318","001-0100499","DV0014-910",21,NA
"319","001-0100501","524780-1000",234,NA
"320","001-0100511","065300-0395",131,52
"321","001-0100511","DV0005-983",131,NA
"322","001-0100512","292504-9040",175,NA
"323","001-0100513","983120-0420",2,NA
"324","001-0100513","983120-0420",2,NA
"325","001-0100515","287710-1460",15,2
"326","001-0100516","276760-3911",13,NA
"327","001-0100517","285610-1235",11,1
"328","001-0100518","684820-0180",17,3
"329","001-0100519","684820-0395",13,4
"330","001-0100520","197220-1525",11,1
"331","001-0100521","684820-0165",14,2
"332","001-0100523","684820-0175",15,NA
"333","001-0100524","290220-1211",23,2
"334","001-0100525","387990-1040",22,1
"335","001-0100526","713330-0055",14,2
"336","001-0100528","290220-0485",10,6
"337","001-0100531","684970-0100",172,1
"338","001-0100531","684970-0100",172,1
"339","001-0100537","276820-0045",10,1
"340","001-0100543","276760-3931",1,NA
"341","001-0100544","125020-0590",2,NA
"342","001-0100545","757920-0190",136,NA
"343","001-0100545","DV0072-195",136,NA
"344","001-0100546","095200-7715",195,24
"345","001-0100552","276760-1595",16,4
"346","001-0100553","291970-2560",10,NA
"347","001-0100554","766370-0860",47,7
"348","001-0100556","510140-4390",10,3
"349","001-0100559","531810-1260",12,NA
"350","001-0100560","982670-1275",44,NA
"351","001-0100563","685070-0050",10,NA
"352","001-0100565","882290-0550",55,NA
"353","001-0100566","524780-0335",22,NA
"354","001-0100567","890250-0007",10,4
"355","001-0100568","882090-0760",12,NA
"356","001-0100569","753480-0005",399,NA
"357","001-0100570","197220-1200",10,2
"358","001-0100571","232403-9081",10,3
"359","001-0100572","501950-0005",13,5
"360","001-0100573","436570-0045",12,4
"361","001-0100574","327780-0795",10,NA
"362","001-0100575","762570-3355",12,NA
"363","001-0100576","510040-1095",14,NA
"364","001-0100582","065600-0220",122,20
"365","001-0100583","510140-7559",18,NA
"366","001-0100584","723460-0715",15,4
"367","001-0100586","632900-0590",24,NA
"368","001-0100586","632900-0590",24,NA
"369","001-0100587","880895-0005",84,30
"370","001-0100588","291820-0061",33,9
"371","001-0100588","DV1139-900",33,NA
"372","001-0100589","173180-0055",15,7
"373","001-0100590","387990-1220",26,13
"374","001-0100591","382170-0099",20,1
"375","001-0100592","276760-2810",16,6
"376","001-0100592","DV0016-941",16,NA
"377","001-0100594","276770-4620",32,11
"378","001-0100594","DV0030-910",32,NA
"379","001-0100595","881240-0260",16,8
"380","001-0100599","276770-4400",14,2
"381","001-0100599","DV1111-484",14,NA
"382","001-0100601","524780-2570",40,1
"383","001-0100602","684770-0390",14,7
"384","001-0100604","952810-4630",14,NA
"385","001-0100607","350510-0760",13,4
"386","001-0100608","014800-0208",11,4
"387","001-0100609","014800-0335",24,5
"388","001-0100614","299780-0070",12,2
"389","001-0100618","882290-1000",19,6
"390","001-0100619","383450-0625",27,6
"391","001-0100621","766010-0145",13,6
"392","001-0100623","048600-0010",11,3
"393","001-0100625","276770-1500",10,1
"394","001-0100626","390410-0287",13,2
"395","001-0100627","390410-0255",18,NA
"396","001-0100629","600300-0775",12,1
"397","001-0100636","676270-0225",14,1
"398","001-0100637","641360-0215",60,2
"399","001-0100638","545730-0020",13,3
"400","001-0100638","DV1125-144",13,NA
"401","001-0100639","276760-3845",19,5
"402","001-0100640","276760-4090",23,10
"403","001-0100641","170290-0635",12,NA
"404","001-0100642","880490-1125",17,NA
"405","001-0100643","117500-0930",16,1
"406","001-0100644","193030-1280",14,NA
"407","001-0100645","277160-2495",10,NA
"408","001-0100646","569400-0090",14,NA
"409","001-0100647","890250-0100",29,NA
"410","001-0100648","685270-0595",32,NA
"411","001-0100650","684820-0380",11,6
"412","001-0100651","881740-0235",24,1
"413","001-0100652","882390-2045",13,NA
"414","001-0100653","881740-0165",19,NA
"415","001-0100654","409230-1370",48,NA
"416","001-0100654","409230-1375",48,NA
"417","001-0100654","409230-1390",48,NA
"418","001-0100655","882390-2850",4,NA
"419","001-0100656","092504-9064",39,NA
"420","001-0100657","092504-9095",69,NA
"421","001-0100658","409230-1055",2,NA
"422","001-0100659","125020-0485",15,6
"423","001-0100661","810190-0519",1,NA
"424","001-0100664","930130-0560",50,5
"425","001-0100665","872560-0195",62,4
"426","001-0100666","684870-0115",25,4
"427","001-0100667","407780-0562",27,2
"428","001-0100668","684820-0085",14,NA
"429","001-0100668","DV1108-332",14,NA
"430","001-0100669","246190-0905",29,2
"431","001-0100669","DV0094-383",29,NA
"432","001-0100674","684820-0405",16,1
"433","001-0100675","545830-0596",14,1
"434","001-0100676","872560-0620",40,NA
"435","001-0100677","114200-1100",39,NA
"436","001-0100678","195970-3130",33,1
"437","001-0100679","387990-0490",21,NA
"438","001-0100680","766370-0931",17,NA
"439","001-0100681","881640-0500",14,2
"440","001-0100683","880490-0370",22,NA
"441","001-0100684","082000-0038",31,NA
"442","001-0100685","114200-1140",80,10
"443","001-0100686","569450-0625",44,1
"444","001-0100687","182504-9039",32,6
"445","001-0100688","276760-3400",16,1
"446","001-0100689","685270-0575",32,4
"447","001-0100691","173180-1239",12,5
"448","001-0100692","199120-1030",53,1
"449","001-0100693","232530-0032",1,NA
"450","001-0100696","069980-0340",1,NA
"451","001-0100698","069900-0450",1,NA
"452","001-0100698","DV0014-755",1,NA
"453","001-0100699","685070-0170",1,1
"454","001-0100700","186990-0105",15,NA
"455","001-0100700","186990-0105",15,NA
"456","001-0100701","684820-0850",11,NA
"457","001-0100702","880490-0282",4,1
"458","001-0100703","423290-1398",8,NA
"459","001-0100704","880490-0720",11,1
"460","001-0100705","069400-0130",27,32
"461","001-0100706","197620-0140",59,21
"462","001-0100708","382170-0135",10,4
"463","001-0100709","569350-0885",10,2
"464","001-0100709","569350-0885",10,2
"465","001-0100710","432120-0950",21,1
"466","001-0100711","788360-4550",22,NA
"467","001-0100725","408330-6715",10,3
"468","001-0100726","570850-0505",11,NA
"469","001-0100727","211470-0295",23,7
"470","001-0100728","211470-0415",10,NA
"471","001-0100729","952810-3115",63,14
"472","001-0100730","342404-9061",28,1
"473","001-0100731","387040-0005",17,NA
"474","001-0100733","195970-1185",12,NA
"475","001-0100735","344200-0050",17,5
"476","001-0100736","195970-1495",16,10
"477","001-0100737","894410-0013",24,NA
"478","001-0100737","DV1206-797",24,NA
"479","001-0100739","880490-1045",33,2
"480","001-0100739","DV1198-519",33,NA
"481","001-0100740","290220-0320",10,NA
"482","001-0100741","744300-1730",11,NA
"483","001-0100747","872560-0170",134,37
"484","001-0100747","DV0069-118",134,NA
"485","001-0100750","095200-6465",104,NA
"486","001-0100750","DV0029-395",104,NA
"487","001-0100752","930130-0670",16,2
"488","001-0100757","225450-0830",78,NA
"489","001-0100758","225450-0715",78,56
"490","001-0100760","276760-5170",10,NA
"491","001-0100761","551310-0000",20,NA
"492","001-0100762","952110-1155",31,8
"493","001-0100763","092504-9349",13,NA
"494","001-0100764","336240-1255",21,4
"495","001-0100765","766370-0870",30,7
"496","001-0100766","766370-0871",30,4
"497","001-0100767","290220-0006",6,NA
"498","001-0100769","099300-0290",14,NA
"499","001-0100770","197220-2085",5,NA
"500","001-0100770","197220-2085",5,NA
"501","001-0100771","614970-0207",1,NA
"502","001-0100772","766060-0265",19,12
"503","001-0100773","766010-0205",11,4
"504","001-0100773","DV0081-375",11,NA
"505","001-0100774","935290-0170",15,NA
"506","001-0100775","935290-0180",15,1
"507","001-0100777","409230-1845",27,5
"508","001-0100778","630000-0530",21,NA
"509","001-0100779","026300-0235",10,1
"510","001-0100780","766370-0882",10,3
"511","001-0100783","216390-0440",112,NA
"512","001-0100784","199020-0375",41,13
"513","001-0100784","199020-0375",41,13
"514","001-0100791","197820-0230",25,3
"515","001-0100795","198920-0800",60,15
"516","001-0100796","545830-0631",18,8
"517","001-0100796","DV0089-473",18,NA
"518","001-0100797","338390-0095",30,13
"519","001-0100798","092504-9079",150,3
"520","001-0100799","510140-5948",68,16
"521","001-0100800","197720-1060",220,NA
"522","001-0100800","DV0016-879",220,NA
"523","001-0100801","020900-0075",72,1
"524","001-0100803","880490-0690",67,NA
"525","001-0100804","952110-0345",11,6
"526","001-0100807","685070-0595",24,NA
"527","001-0100808","344800-0015",15,3
"528","001-0100809","149900-0000",18,NA
"529","001-0100810","912200-0230",15,NA
"530","001-0100811","885000-0005",12,5
"531","001-0100812","564660-0005",15,1
"532","001-0100813","882290-1420",14,4
"533","001-0100814","327490-0005",100,2
"534","001-0100815","286960-0111",12,2
"535","001-0100817","276770-0990",12,1
"536","001-0100818","797420-0925",21,3
"537","001-0100821","685070-0260",295,26
"538","001-0100823","880490-0300",84,3
"539","001-0100823","DV0078-891",84,NA
"540","001-0100824","173280-0215",33,NA
"541","001-0100825","156240-0440",44,NA
"542","001-0100825","DV0015-214",44,NA
"543","001-0100827","891100-0040",24,NA
"544","001-0100828","643150-0260",139,NA
"545","001-0100829","788610-0560",40,NA
"546","001-0100830","926920-0025",71,NA
"547","001-0100831","344800-1435",15,3
"548","001-0100832","202504-9020",10,NA
"549","001-0100832","DV0012-474",10,NA
"550","001-0100833","753080-0020",6,NA
"551","001-0100834","276770-1375",64,6
"552","001-0100835","276760-3685",13,6
"553","001-0100837","685170-0085",72,NA
"554","001-0100837","DV0017-987",72,NA
"555","001-0100839","249120-0905",15,1
"556","001-0100841","881640-0325",146,NA
"557","001-0100842","717480-0820",18,3
"558","001-0100846","060600-0020",11,3
"559","001-0100848","387990-1925",85,NA
"560","001-0100849","197820-0505",83,NA
"561","001-0100849","DV0006-549",83,NA
"562","001-0100850","927420-0145",30,8
"563","001-0100851","290220-1176",10,4
"564","001-0100852","927220-1340",37,3
"565","001-0100853","011700-0240",23,NA
"566","001-0100854","600300-0730",76,NA
"567","001-0100855","600350-2025",29,NA
"568","001-0100856","614560-0485",22,7
"569","001-0100857","172880-0066",58,NA
"570","001-0100858","173180-0780",25,1
"571","001-0100858","DV0012-458",25,NA
"572","001-0100860","362603-9064",11,1
"573","001-0100861","394290-0045",16,NA
"574","001-0100863","717120-0475",12,NA
"575","001-0100864","684820-0105",17,8
"576","001-0100865","210770-0110",110,NA
"577","001-0100866","383450-0070",80,NA
"578","001-0100867","197570-0420",43,NA
"579","001-0100868","292604-9074",82,NA
"580","001-0100869","872560-0460",81,NA
"581","001-0100870","600300-0590",76,NA
"582","001-0100871","880490-1130",50,NA
"583","001-0100872","880490-0635",95,NA
"584","001-0100873","880490-0525",14,NA
"585","001-0100874","859040-0755",33,NA
"586","001-0100875","882390-0785",26,6
"587","001-0100875","882390-0785",26,6
"588","001-0100875","882390-0785",26,6
"589","001-0100876","181780-0150",15,NA
"590","001-0100878","766060-0065",16,NA
"591","001-0100878","DV0051-120",16,NA
"592","001-0100880","674670-1185",283,1
"593","001-0100880","674670-1240",283,NA
"594","001-0100882","277060-6845",8,5
"595","001-0100883","302504-9074",23,6
"596","001-0100884","024170-0000",56,NA
"597","001-0100885","122503-9002",16,8
"598","001-0100887","195970-0185",9,5
"599","001-0100888","663230-0251",22,3
"600","001-0100889","614560-0515",36,3
"601","001-0100890","701120-0480",18,8
"602","001-0100891","216390-0350",28,8
"603","001-0100892","387990-0580",32,NA
"604","001-0100893","276760-0290",11,4
"605","001-0100895","782120-0915",7,NA
"606","001-0100896","431570-0727",20,4
"607","001-0100899","569400-0308",21,NA
"608","001-0100899","DV0011-569",21,NA
"609","001-0100900","881640-0510",14,NA
"610","001-0100901","409230-0780",24,NA
"611","001-0100906","182504-9154",12,NA
"612","001-0100907","069500-0180",70,NA
"613","001-0100908","197720-0970",84,NA
"614","001-0100909","093900-0085",62,NA
"615","001-0100910","065400-0105",81,NA
"616","001-0100911","684970-0055",125,1
"617","001-0100912","094200-0555",110,NA
"618","001-0100913","197720-1171",92,NA
"619","001-0100916","246740-0441",82,NA
"620","001-0100917","197720-0610",47,NA
"621","001-0100918","197720-0615",52,NA
"622","001-0100919","193130-1275",10,NA
"623","001-0100920","069500-0005",137,NA
"624","001-0100923","199120-0600",197,12
"625","001-0100924","503630-0290",33,9
"626","001-0100925","503630-0270",24,4
"627","001-0100927","564960-0035",37,NA
"628","001-0100928","265250-2350",8,NA
"629","001-0100928","DV0008-799",8,NA
"630","001-0100929","331950-0380",12,4
"631","001-0100930","093900-0100",20,18
"632","001-0100931","216390-0010",16,5
"633","001-0100932","723460-0826",16,2
"634","001-0100933","277060-1116",6,1
"635","001-0100934","524780-0041",48,25
"636","001-0100935","114200-1090",33,NA
"637","001-0100936","290220-0620",11,1
"638","001-0100937","198920-1405",63,NA
"639","001-0100938","198820-0190",275,13
"640","001-0100938","DV0075-316",275,NA
"641","001-0100939","630000-0680",6,3
"642","001-0100940","114200-1665",11,NA
"643","001-0100941","881640-0520",14,3
"644","001-0100941","881640-0520",14,3
"645","001-0100942","202504-9124",20,NA
"646","001-0100942","202504-9124",20,NA
"647","001-0100943","744300-1265",19,NA
"648","001-0100943","744300-1265",19,NA
"649","001-0100944","685270-0345",15,1
"650","001-0100944","685270-0345",15,1
"651","001-0100945","344800-0890",10,4
"652","001-0100946","344800-0715",11,2
"653","001-0100947","663230-0252",23,2
"654","001-0100947","DV0071-881",23,NA
"655","001-0100949","930130-0510",11,6
"656","001-0100950","277160-3560",15,9
"657","001-0100953","524780-0955",132,1
"658","001-0100955","600300-1810",57,NA
"659","001-0100956","600350-1355",23,NA
"660","001-0100957","600300-1025",32,NA
"661","001-0100959","045500-0730",25,NA
"662","001-0100960","929730-1840",68,NA
"663","001-0100961","674670-2120",18,3
"664","001-0100964","684820-0092",32,NA
"665","001-0100965","114200-1650",45,NA
"666","001-0100966","685070-0555",31,2
"667","001-0100967","387990-0500",51,NA
"668","001-0100968","684820-0810",12,NA
"669","001-0100969","195970-3035",28,NA
"670","001-0100970","685170-0220",24,1
"671","001-0100971","173180-0075",22,NA
"672","001-0100972","684870-0020",47,NA
"673","001-0100973","114200-0015",124,1
