"","RECORD_ID","Parcel number","Registered units","TrueRoll unit count"
"10847","001-0118258","982870-1220",1,NA
"10848","001-0118259","243620-0510",1,1
"10849","001-0118260","766370-0962",1,NA
"10850","001-0118261","113300-0725",1,NA
"10851","001-0118262","344800-0186",2,NA
"10852","001-0118263","645030-4712",1,1
"10853","001-0118264","866495-0340",1,NA
"10854","001-0118265","982820-0071",1,NA
"10855","001-0118268","932480-0275",1,NA
"10856","001-0118269","045200-0100",1,NA
"10857","001-0118270","290870-0045",1,NA
"10858","001-0118272","524880-0715",1,NA
"10859","001-0118273","882290-1171",1,NA
"10860","001-0118275","145360-1525",3,NA
"10861","001-0118277","721740-0247",1,NA
"10862","001-0118278","912610-1760",2,NA
"10863","001-0118279","118900-0086",1,NA
"10864","001-0118281","339504-0060",1,NA
"10865","001-0118282","882090-1561",2,NA
"10866","001-0118284","113300-0171",2,1
"10867","001-0118286","273410-0990",2,1
"10868","001-0118286","273410-0990",2,1
"10869","001-0118287","641360-0189",1,1
"10870","001-0118289","794930-0045",4,2
"10871","001-0118290","092504-9175",5,1
"10872","001-0118293","600300-1460",4,NA
"10873","001-0118293","600300-1460",4,NA
"10874","001-0118299","175370-0516",1,NA
"10875","001-0118300","383450-0450",1,NA
"10876","001-0118301","524880-0530",1,NA
"10877","001-0118302","912610-0050",1,NA
"10878","001-0118305","723460-1032",1,NA
"10879","001-0118306","344800-2130",1,NA
"10880","001-0118307","685570-0010",1,NA
"10881","001-0118311","407780-0199",2,NA
"10882","001-0118313","407780-0293",3,NA
"10883","001-0118314","388090-0245",4,1
"10884","001-0118315","684820-0325",3,1
"10885","001-0118317","331950-1590",3,2
"10886","001-0118318","277160-3330",4,NA
"10887","001-0118319","276760-2860",2,NA
"10888","001-0118320","145360-2263",4,1
"10889","001-0118321","982870-1960",3,1
"10890","001-0118322","890100-0906",1,NA
"10891","001-0118323","212604-9112",1,NA
"10892","001-0118324","982820-1860",1,NA
"10893","001-0118325","195970-2950",1,NA
"10894","001-0118326","641210-0161",1,NA
"10895","001-0118327","103660-1480",1,NA
"10896","001-0118331","441060-0086",1,NA
"10897","001-0118332","292604-9192",1,NA
"10898","001-0118334","866495-0100",1,NA
"10899","001-0118335","788360-1615",1,NA
"10900","001-0118338","890100-1375",1,NA
"10901","001-0118340","425090-0065",1,NA
"10902","001-0118341","754980-1425",1,NA
"10903","001-0118343","168940-0545",4,1
"10904","001-0118344","168940-0540",2,NA
"10905","001-0118345","046470-1080",1,NA
"10906","001-0118346","663230-0644",2,NA
"10907","001-0118347","663230-0645",2,NA
"10908","001-0118348","663230-0646",2,NA
"10909","001-0118349","663230-0647",2,NA
"10910","001-0118350","543330-0155",1,NA
"10911","001-0118351","439890-0060",1,NA
"10912","001-0118352","383450-0535",1,NA
"10913","001-0118356","514100-0200",1,NA
"10914","001-0118357","410470-0080",1,NA
"10915","001-0118358","145410-0425",2,NA
"10916","001-0118359","982820-2130",2,NA
"10917","001-0118359","982820-2130",2,NA
"10918","001-0118360","075100-0125",2,NA
"10919","001-0118361","344800-2140",1,NA
"10920","001-0118362","757770-0495",2,NA
"10921","001-0118363","223980-0080",1,NA
"10922","001-0118365","722850-0460",1,NA
"10923","001-0118366","721740-0720",1,NA
"10924","001-0118368","982870-1965",1,NA
"10925","001-0118369","641410-0691",1,1
"10926","001-0118372","510140-6297",1,NA
"10927","001-0118373","679810-0445",1,NA
"10928","001-0118374","982870-1608",1,NA
"10929","001-0118375","322604-9523",1,NA
"10930","001-0118376","322604-9527",1,NA
"10931","001-0118382","170840-0930",1,NA
"10932","001-0118384","785700-3425",1,NA
"10933","001-0118386","982820-1064",2,NA
"10934","001-0118388","226450-0941",1,NA
"10935","001-0118391","882290-0090",2,NA
"10936","001-0118392","423240-1235",1,NA
"10937","001-0118393","170840-0035",1,NA
"10938","001-0118396","260779-0070",1,NA
"10939","001-0118401","425090-0045",1,NA
"10940","001-0118401","425090-0045",1,NA
"10941","001-0118402","204450-0063",1,1
"10942","001-0118402","204450-0063",1,1
"10943","001-0118403","269520-0570",1,NA
"10944","001-0118405","766370-0262",1,NA
"10945","001-0118408","383450-0302",1,NA
"10946","001-0118410","614790-0190",1,NA
"10947","001-0118416","113300-0070",1,NA
"10948","001-0118419","410470-0030",1,NA
"10949","001-0118419","DV0034-458",1,NA
"10950","001-0118421","113300-0740",1,NA
"10951","001-0118421","113300-0740",1,NA
"10952","001-0118424","912610-0590",1,NA
"10953","001-0118432","175370-0575",1,NA
"10954","001-0118433","060300-0350",1,NA
"10955","001-0118435","733840-1790",1,NA
"10956","001-0118436","890100-0489",1,NA
"10957","001-0118440","407780-0200",1,NA
"10958","001-0118442","882090-1245",1,NA
"10959","001-0118443","549800-0190",1,NA
"10960","001-0118446","373280-0193",2,NA
"10961","001-0118447","272604-9017",2,NA
"10962","001-0118448","373280-0194",3,NA
"10963","001-0118449","225450-1295",3,1
"10964","001-0118452","137080-0935",1,NA
"10965","001-0118453","102504-9211",9,NA
"10966","001-0118455","291920-0025",38,NA
"10967","001-0118455","DV0030-287",38,NA
"10968","001-0118456","145950-0065",1,NA
"10969","001-0118456","145950-0065",1,NA
"10970","001-0118460","510040-1411",1,NA
"10971","001-0118463","367940-1255",1,NA
"10972","001-0118468","179260-0190",1,NA
"10973","001-0118470","145410-0255",1,NA
"10974","001-0118472","510140-6300",1,NA
"10975","001-0118475","186740-0095",1,NA
"10976","001-0118476","373280-0150",1,NA
"10977","001-0118477","505330-0015",1,NA
"10978","001-0118478","171490-0100",1,NA
"10979","001-0118479","060000-0565",1,NA
"10980","001-0118480","600300-1915",4,NA
"10981","001-0118483","170840-0085",1,NA
"10982","001-0118484","386940-0055",1,NA
"10983","001-0118486","890300-0005",2,1
"10984","001-0118489","866497-0840",1,NA
"10985","001-0118493","890100-0576",1,NA
"10986","001-0118495","204450-0274",1,NA
"10987","001-0118497","155620-0100",5,NA
"10988","001-0118498","722850-1350",1,NA
"10989","001-0118499","515770-0010",2,NA
"10990","001-0118500","140730-0055",1,NA
"10991","001-0118501","722850-1345",2,NA
"10992","001-0118502","099300-1105",1,NA
"10993","001-0118502","099300-1105",1,NA
"10994","001-0118503","936360-0045",2,NA
"10995","001-0118504","225450-1060",3,1
"10996","001-0118505","641360-0246",1,1
"10997","001-0118505","641360-0246",1,1
"10998","001-0118506","407780-0064",1,NA
"10999","001-0118508","256880-0100",1,NA
"11000","001-0118508","256880-0100",1,NA
"11001","001-0118509","766370-0743",1,NA
"11002","001-0118510","025440-0090",1,NA
"11003","001-0118511","375300-0090",1,NA
"11004","001-0118511","375300-0090",1,NA
"11005","001-0118512","246090-0135",1,1
"11006","001-0118515","075100-0060",1,NA
"11007","001-0118516","292604-9216",1,NA
"11008","001-0118517","679810-0650",3,NA
"11009","001-0118519","212604-9102",1,NA
"11010","001-0118520","982920-0536",1,1
"11011","001-0118521","145460-0275",1,1
"11012","001-0118524","721740-0006",1,NA
"11013","001-0118527","754980-1140",1,1
"11014","001-0118528","663230-0120",1,1
"11015","001-0118529","269520-0370",1,1
"11016","001-0118530","269520-0610",1,NA
"11017","001-0118532","921340-0145",1,1
"11018","001-0118537","882090-1475",1,NA
"11019","001-0118538","617480-0150",1,NA
"11020","001-0118541","407780-0254",1,NA
"11021","001-0118542","510140-5901",1,NA
"11022","001-0118543","723460-1026",1,NA
"11023","001-0118544","075100-0035",1,1
"11024","001-0118545","815910-0080",4,2
"11025","001-0118546","768394-0030",1,NA
"11026","001-0118548","204450-0115",1,NA
"11027","001-0118550","344800-0750",1,NA
"11028","001-0118553","684070-0400",1,1
"11029","001-0118555","670150-0290",1,NA
"11030","001-0118556","641410-0030",1,NA
"11031","001-0118557","145360-0885",1,NA
"11032","001-0118560","393590-0315",1,NA
"11033","001-0118562","232530-0041",1,1
"11034","001-0118565","545780-0535",1,2
"11035","001-0118568","785700-3996",1,NA
"11036","001-0118570","912610-1555",1,NA
"11037","001-0118571","236300-0540",2,NA
"11038","001-0118571","236300-0540",2,NA
"11039","001-0118572","982820-2420",3,NA
"11040","001-0118573","982820-2100",3,NA
"11041","001-0118574","367940-0525",1,NA
"11042","001-0118575","918720-0315",1,NA
"11043","001-0118576","754830-0339",3,NA
"11044","001-0118577","145410-0410",1,NA
"11045","001-0118578","441060-0050",1,NA
"11046","001-0118580","890100-0690",1,NA
"11047","001-0118581","195970-3070",3,NA
"11048","001-0118583","788360-2115",1,NA
"11049","001-0118586","441060-0030",1,NA
"11050","001-0118590","197220-0255",1,NA
"11051","001-0118591","368040-0185",1,NA
"11052","001-0118593","204100-0025",2,NA
"11053","001-0118594","020006-0420",1,NA
"11054","001-0118597","912610-1375",1,NA
"11055","001-0118598","118900-0130",1,NA
"11056","001-0118598","118900-0130",1,NA
"11057","001-0118599","638150-0099",1,NA
"11058","001-0118604","242603-9311",1,NA
"11059","001-0118605","224650-0030",2,1
"11060","001-0118608","379210-0015",1,NA
"11061","001-0118609","344800-0845",1,NA
"11062","001-0118611","641410-0483",1,NA
"11063","001-0118613","679810-0675",1,NA
"11064","001-0118616","679810-1210",1,NA
"11065","001-0118616","679810-1210",1,NA
"11066","001-0118617","178760-0096",1,NA
"11067","001-0118618","882090-0265",2,NA
"11068","001-0118621","722850-2470",2,NA
"11069","001-0118622","383450-0020",4,NA
"11070","001-0118623","641310-0161",1,NA
"11071","001-0118624","393590-0005",1,NA
"11072","001-0118625","882090-2970",1,NA
"11073","001-0118626","882090-3131",1,1
"11074","001-0118628","224650-0035",1,NA
"11075","001-0118631","407530-0085",1,NA
"11076","001-0118634","145510-0116",1,NA
"11077","001-0118638","679880-0050",1,1
"11078","001-0118639","225850-0035",1,NA
"11079","001-0118639","225850-0035",1,NA
"11080","001-0118642","274110-0310",1,NA
"11081","001-0118645","219760-0371",3,NA
"11082","001-0118646","424290-0356",2,NA
"11083","001-0118650","685570-0165",1,NA
"11084","001-0118651","046100-5385",2,NA
"11085","001-0118654","785700-4068",2,NA
"11086","001-0118657","212604-9063",1,NA
"11087","001-0118657","212604-9063",1,NA
"11088","001-0118658","116000-0330",1,NA
"11089","001-0118659","431070-2786",1,1
"11090","001-0118660","882290-0986",1,NA
"11091","001-0118661","568000-0840",1,1
"11092","001-0118662","133500-0010",1,NA
"11093","001-0118662","DV0042-326",1,NA
"11094","001-0118663","683781-0250",1,NA
"11095","001-0118665","890100-1225",1,NA
"11096","001-0118667","510140-6321",1,NA
"11097","001-0118668","685570-0005",1,NA
"11098","001-0118671","170840-0255",1,NA
"11099","001-0118673","785700-0925",1,NA
"11100","001-0118677","638150-0050",1,NA
"11101","001-0118677","638150-0050",1,NA
"11102","001-0118678","549800-0240",1,NA
"11103","001-0118680","952810-2025",1,NA
"11104","001-0118681","269560-0435",1,NA
"11105","001-0118682","797720-0680",1,NA
"11106","001-0118683","145410-0397",1,NA
"11107","001-0118683","145410-0397",1,NA
"11108","001-0118684","945520-0634",1,NA
"11109","001-0118686","788360-6555",4,NA
"11110","001-0118687","638150-1975",1,NA
"11111","001-0118690","982820-1130",2,NA
"11112","001-0118691","395940-1665",1,NA
"11113","001-0118692","641160-0212",1,1
"11114","001-0118693","001300-1765",1,NA
"11115","001-0118697","919120-1250",1,NA
"11116","001-0118698","936360-0235",1,NA
"11117","001-0118703","060000-0040",1,NA
"11118","001-0118706","213420-0028",1,NA
"11119","001-0118710","788360-6735",4,NA
"11120","001-0118711","882290-1050",4,NA
"11121","001-0118712","982920-1004",5,1
"11122","001-0118714","797260-2750",1,NA
"11123","001-0118717","510140-6408",1,1
"11124","001-0118719","766370-0651",1,NA
"11125","001-0118720","812410-0050",1,NA
"11126","001-0118722","256880-0063",1,NA
"11127","001-0118723","638150-0055",1,NA
"11128","001-0118724","003700-0400",2,NA
"11129","001-0118725","536620-0685",1,1
"11130","001-0118726","536620-0690",1,1
"11131","001-0118728","001300-1054",1,NA
"11132","001-0118731","001300-1745",1,NA
"11133","001-0118732","305860-0030",1,NA
"11134","001-0118734","710000-0130",1,NA
"11135","001-0118741","352890-1005",3,NA
"11136","001-0118743","912610-1215",1,NA
"11137","001-0118745","806600-0030",3,1
"11138","001-0118746","243320-0042",1,NA
"11139","001-0118747","918820-1215",1,NA
"11140","001-0118754","794260-0015",4,6
"11141","001-0118754","794260-0015",4,6
"11142","001-0118762","339290-0140",1,NA
"11143","001-0118764","088600-0150",1,NA
"11144","001-0118766","722850-1888",1,NA
"11145","001-0118767","882290-1316",1,NA
"11146","001-0118767","882290-1316",1,NA
"11147","001-0118768","722850-1887",1,NA
"11148","001-0118769","344800-0735",1,NA
"11149","001-0118770","558320-0895",2,NA
"11150","001-0118771","020006-0480",1,1
"11151","001-0118773","794260-1160",2,NA
"11152","001-0118775","291970-2445",1,NA
"11153","001-0118777","140050-0360",1,1
"11154","001-0118778","510240-0060",1,NA
"11155","001-0118779","982820-2465",2,NA
"11156","001-0118779","982820-2465",2,NA
"11157","001-0118785","155620-0040",1,NA
"11158","001-0118789","713730-0025",1,NA
"11159","001-0118789","713730-0025",1,NA
"11160","001-0118791","162404-9112",1,NA
"11161","001-0118792","882290-0990",1,NA
"11162","001-0118793","186740-0090",1,NA
"11163","001-0118794","382220-0082",1,NA
"11164","001-0118795","383400-0645",1,NA
"11165","001-0118795","383400-0645",1,NA
"11166","001-0118797","407780-0166",1,1
"11167","001-0118798","797260-4760",4,NA
"11168","001-0118800","145360-2280",2,2
"11169","001-0118800","145360-2280",2,2
"11170","001-0118801","113300-0087",3,1
"11171","001-0118802","116000-0215",1,NA
"11172","001-0118804","733840-1875",1,NA
"11173","001-0118805","232130-0490",1,NA
"11174","001-0118807","442660-0030",1,1
"11175","001-0118809","224890-0000",3,NA
"11176","001-0118809","DV0003-445",3,NA
"11177","001-0118811","722850-1190",1,NA
"11178","001-0118812","274210-0288",1,NA
"11179","001-0118812","DV0072-472",1,NA
"11180","001-0118813","256830-0321",1,NA
"11181","001-0118814","983930-1095",1,NA
"11182","001-0118814","983930-1095",1,NA
"11183","001-0118815","367940-0955",1,1
"11184","001-0118816","912610-2045",1,NA
"11185","001-0118816","912610-2045",1,NA
"11186","001-0118819","044300-0035",1,NA
"11187","001-0118820","722850-1095",1,NA
"11188","001-0118821","344800-2235",2,NA
"11189","001-0118823","395940-1375",2,NA
"11190","001-0118826","713730-0015",2,NA
"11191","001-0118827","713730-0020",2,NA
"11192","001-0118829","641410-0711",1,NA
"11193","001-0118830","882090-0831",1,NA
"11194","001-0118831","344800-1787",1,1
"11195","001-0118832","386940-0065",1,NA
"11196","001-0118837","273410-0328",1,NA
"11197","001-0118838","383400-0800",1,NA
"11198","001-0118844","087700-0103",1,NA
"11199","001-0118846","524880-0470",1,NA
"11200","001-0118847","785700-3645",1,NA
"11201","001-0118847","785700-3645",1,NA
"11202","001-0118849","288775-0020",1,NA
"11203","001-0118850","722850-1733",2,NA
"11204","001-0118852","383450-0025",4,NA
"11205","001-0118855","981870-0580",4,1
"11206","001-0118855","981870-0580",4,1
"11207","001-0118857","274110-0540",1,NA
"11208","001-0118859","952410-0207",1,NA
"11209","001-0118860","789160-0590",1,NA
"11210","001-0118862","689150-0100",2,1
"11211","001-0118865","982820-1600",1,NA
"11212","001-0118866","722850-2460",1,NA
"11213","001-0118867","395940-0025",1,NA
"11214","001-0118873","600300-0685",3,NA
"11215","001-0118879","755680-0390",1,NA
"11216","001-0118883","344800-0170",1,NA
"11217","001-0118883","344800-0170",1,NA
"11218","001-0118884","243320-0099",1,NA
"11219","001-0118886","600300-0785",2,NA
"11220","001-0118888","358950-0316",1,NA
"11221","001-0118889","133080-0400",1,7
"11222","001-0118891","133780-0960",1,NA
"11223","001-0118892","133860-0130",3,NA
"11224","001-0118898","732790-0910",1,NA
"11225","001-0118900","890250-0355",1,NA
"11226","001-0118901","178760-0160",1,NA
"11227","001-0118902","641410-0195",1,NA
"11228","001-0118903","641410-0581",1,NA
"11229","001-0118904","641410-0193",1,NA
"11230","001-0118905","982820-0910",3,NA
"11231","001-0118906","641410-0572",1,NA
"11232","001-0118907","912610-1740",3,NA
"11233","001-0118907","912610-1740",3,NA
"11234","001-0118911","176600-1410",1,NA
"11235","001-0118911","DV0052-425",1,NA
"11236","001-0118913","982200-0680",1,NA
"11237","001-0118913","DV0003-346",1,NA
"11238","001-0118915","134230-0060",1,NA
"11239","001-0118915","DV0019-701",1,NA
"11240","001-0118920","510140-6369",1,NA
"11241","001-0118921","741130-0080",1,NA
"11242","001-0118923","683781-0440",1,1
"11243","001-0118926","409230-2131",1,NA
"11244","001-0118927","212604-9126",1,1
"11245","001-0118928","344800-0855",1,NA
"11246","001-0118930","638150-0360",1,NA
"11247","001-0118931","256880-0040",2,NA
"11248","001-0118933","863260-0010",1,NA
"11249","001-0118934","771560-0020",1,NA
"11250","001-0118936","982820-1302",1,NA
"11251","001-0118936","982820-1302",1,NA
"11252","001-0118937","615070-0356",1,NA
"11253","001-0118937","615070-0356",1,NA
"11254","001-0118938","663230-0195",1,NA
"11255","001-0118939","663230-0191",1,NA
"11256","001-0118943","274110-0220",1,NA
"11257","001-0118944","948870-0155",3,NA
"11258","001-0118949","395940-1218",1,NA
"11259","001-0118952","510140-4659",1,NA
"11260","001-0118953","712830-0195",1,NA
"11261","001-0118959","860490-0365",1,NA
"11262","001-0118960","152220-0130",2,NA
"11263","001-0118961","641210-0194",1,NA
"11264","001-0118964","145360-2262",1,NA
"11265","001-0118965","000520-0120",1,NA
"11266","001-0118966","641310-0190",2,1
"11267","001-0118968","732790-0210",2,NA
"11268","001-0118969","344800-2340",1,NA
"11269","001-0118970","367740-0255",1,NA
"11270","001-0118974","367740-0485",1,NA
"11271","001-0118981","788360-7620",1,NA
"11272","001-0118982","381240-0386",1,NA
"11273","001-0118986","437320-0030",1,NA
"11274","001-0118987","383400-0830",1,NA
"11275","001-0118995","382220-0096",1,NA
"11276","001-0118995","382220-0096",1,NA
"11277","001-0118996","212604-9075",1,NA
"11278","001-0118997","082000-0025",1,NA
"11279","001-0118998","882090-0399",1,NA
"11280","001-0118998","882090-0399",1,NA
"11281","001-0119000","379290-0070",1,NA
"11282","001-0119002","942340-0021",1,NA
"11283","001-0119004","882290-1212",1,NA
"11284","001-0119005","225450-1795",2,NA
"11285","001-0119007","982820-2135",1,NA
"11286","001-0119007","982820-2135",1,NA
"11287","001-0119010","882290-1213",1,NA
"11288","001-0119012","232530-0045",1,NA
"11289","001-0119014","617480-0200",1,NA
"11290","001-0119017","890250-0285",1,NA
"11291","001-0119018","292604-9486",1,NA
"11292","001-0119020","684870-0075",2,NA
"11293","001-0119022","890250-0283",1,NA
"11294","001-0119023","407380-0315",1,NA
"11295","001-0119024","172280-0765",1,NA
"11296","001-0119026","663230-0564",1,NA
"11297","001-0119027","232530-0075",1,NA
"11298","001-0119028","769814-0020",1,NA
"11299","001-0119030","516500-0510",1,NA
"11300","001-0119030","DV0055-816",1,NA
"11301","001-0119031","442710-0050",1,NA
"11302","001-0119036","212604-9104",1,NA
"11303","001-0119039","754980-0150",1,NA
"11304","001-0119041","641360-0175",1,NA
"11305","001-0119043","641360-0176",1,NA
"11306","001-0119044","113300-0280",1,NA
"11307","001-0119044","113300-0280",1,NA
"11308","001-0119045","917860-0634",1,NA
"11309","001-0119047","088600-0050",1,NA
"11310","001-0119047","088600-0050",1,NA
"11311","001-0119048","170840-0825",1,NA
"11312","001-0119052","882290-0113",2,NA
"11313","001-0119053","156010-0115",1,NA
"11314","001-0119054","134750-0100",1,NA
"11315","001-0119055","757620-0215",1,NA
"11316","001-0119058","171040-0055",1,NA
"11317","001-0119059","145410-0036",1,NA
"11318","001-0119060","202604-9037",1,NA
"11319","001-0119060","202604-9037",1,NA
"11320","001-0119066","145360-1561",3,1
"11321","001-0119069","292604-9564",1,NA
"11322","001-0119072","193480-0172",1,NA
"11323","001-0119073","982670-1203",1,NA
"11324","001-0119075","156010-0005",1,NA
"11325","001-0119078","510140-8728",1,NA
"11326","001-0119083","088600-0125",1,NA
"11327","001-0119085","193480-0163",1,NA
"11328","001-0119086","260787-0220",1,NA
"11329","001-0119088","016400-0181",1,1
"11330","001-0119088","016400-0181",1,1
"11331","001-0119089","170840-0040",1,NA
"11332","001-0119090","171490-0485",1,NA
"11333","001-0119093","333100-2375",1,NA
"11334","001-0119095","632100-0236",1,NA
"11335","001-0119097","788360-1970",1,NA
"11336","001-0119098","785700-3511",1,NA
"11337","001-0119101","549800-0130",1,NA
"11338","001-0119103","046470-0840",1,NA
"11339","001-0119106","082000-0020",2,NA
"11340","001-0119106","082000-0020",2,NA
"11341","001-0119107","572450-0185",1,NA
"11342","001-0119107","572450-0185",1,NA
"11343","001-0119108","118900-0785",2,NA
"11344","001-0119111","219760-0800",2,2
"11345","001-0119113","788360-4155",2,NA
"11346","001-0119115","020006-0660",1,NA
"11347","001-0119116","082000-0021",3,NA
"11348","001-0119116","082000-0021",3,NA
"11349","001-0119118","638150-1085",1,NA
"11350","001-0119119","170840-0655",1,NA
"11351","001-0119120","722850-1700",4,NA
"11352","001-0119120","722850-1700",4,NA
"11353","001-0119122","872975-1990",2,NA
"11354","001-0119122","DV0015-377",2,NA
"11355","001-0119127","205860-0050",1,NA
"11356","001-0119130","205860-0040",1,NA
"11357","001-0119132","510140-7720",1,NA
"11358","001-0119133","638150-1210",1,NA
"11359","001-0119134","162404-9094",1,NA
"11360","001-0119139","890100-0850",1,1
"11361","001-0119142","863286-0010",266,NA
"11362","001-0119144","061340-0050",1,NA
"11363","001-0119146","408330-5015",1,NA
"11364","001-0119148","617480-0420",1,NA
"11365","001-0119149","863287-0005",109,NA
"11366","001-0119150","863286-0040",12,NA
"11367","001-0119154","663230-0242",1,NA
"11368","001-0119156","641410-0470",1,NA
"11369","001-0119157","118900-0670",1,NA
"11370","001-0119165","638150-0080",1,NA
"11371","001-0119168","383450-0180",3,NA
"11372","001-0119169","000180-0011",1,NA
"11373","001-0119171","394290-0005",2,NA
"11374","001-0119175","527220-0060",1,1
"11375","001-0119179","933840-0025",1,NA
"11376","001-0119180","081400-0050",1,NA
"11377","001-0119181","206960-0060",1,1
"11378","001-0119182","211020-0125",1,NA
"11379","001-0119183","225650-0006",2,NA
"11380","001-0119186","543330-0006",1,NA
"11381","001-0119187","641360-0102",1,NA
"11382","001-0119189","866497-0350",1,NA
"11383","001-0119190","315120-0590",1,NA
"11384","001-0119192","663305-1330",1,NA
"11385","001-0119193","641310-0042",1,1
"11386","001-0119195","641310-0041",1,1
"11387","001-0119196","510140-2310",1,1
"11388","001-0119197","393590-0076",2,NA
"11389","001-0119198","882090-2549",1,NA
"11390","001-0119199","890100-0871",1,NA
"11391","001-0119200","785700-3860",1,NA
"11392","001-0119201","258930-0035",1,NA
"11393","001-0119202","367740-0335",1,NA
"11394","001-0119203","641360-0093",1,NA
"11395","001-0119205","292604-9273",1,NA
"11396","001-0119206","890200-0376",1,NA
"11397","001-0119207","641160-0370",3,1
"11398","001-0119208","272604-9025",2,NA
"11399","001-0119210","162404-9212",1,NA
"11400","001-0119213","204450-0136",1,NA
"11401","001-0119214","723460-1417",1,1
"11402","001-0119215","883640-0050",1,NA
"11403","001-0119217","780413-0020",1,NA
"11404","001-0119220","982670-1205",1,NA
"11405","001-0119222","723460-0802",1,NA
"11406","001-0119223","722850-1250",3,NA
"11407","001-0119226","785700-0095",1,NA
"11408","001-0119228","639550-0100",1,NA
"11409","001-0119230","942340-0182",1,NA
"11410","001-0119231","145360-2287",1,NA
"11411","001-0119234","641310-0262",1,1
"11412","001-0119237","145460-0046",1,NA
"11413","001-0119238","140730-0045",5,NA
"11414","001-0119245","802420-1574",1,NA
"11415","001-0119247","802420-1565",1,1
"11416","001-0119248","679810-0666",1,NA
"11417","001-0119249","170840-0270",1,NA
"11418","001-0119250","225450-2455",1,NA
"11419","001-0119250","DV1192-413",1,NA
"11420","001-0119251","510040-0190",2,NA
"11421","001-0119252","785700-3975",1,NA
"11422","001-0119254","134750-0060",1,1
"11423","001-0119255","521800-0050",1,2
"11424","001-0119256","882090-3475",1,NA
"11425","001-0119257","020005-0450",1,NA
"11426","001-0119258","617430-1050",1,NA
"11427","001-0119261","063500-0115",1,1
"11428","001-0119262","641310-0263",1,NA
"11429","001-0119264","788360-3655",1,NA
"11430","001-0119265","175370-0485",1,NA
"11431","001-0119267","145460-0090",1,NA
"11432","001-0119267","DV0074-603",1,NA
"11433","001-0119268","815910-0060",1,NA
"11434","001-0119269","679810-0674",1,NA
"11435","001-0119270","159477-0200",1,NA
"11436","001-0119272","794260-1905",2,NA
"11437","001-0119276","155620-0045",1,NA
"11438","001-0119278","745988-0100",1,NA
"11439","001-0119279","982920-0860",1,NA
"11440","001-0119280","600300-1210",3,NA
"11441","001-0119280","600300-1210",3,NA
"11442","001-0119282","617430-0390",1,NA
"11443","001-0119283","810090-0095",1,NA
"11444","001-0119286","367940-1100",1,NA
"11445","001-0119287","689150-0350",1,NA
"11446","001-0119287","689150-0350",1,NA
"11447","001-0119288","175370-0570",1,NA
"11448","001-0119291","060300-0175",1,NA
"11449","001-0119293","061340-0200",1,NA
"11450","001-0119295","395940-0070",1,NA
"11451","001-0119296","113300-0685",1,1
"11452","001-0119298","178760-0225",1,NA
"11453","001-0119301","382170-0008",4,1
"11454","001-0119304","721740-1075",2,NA
"11455","001-0119304","721740-1075",2,NA
"11456","001-0119305","155620-0015",1,NA
"11457","001-0119306","145410-0162",1,1
"11458","001-0119311","399270-0472",1,NA
"11459","001-0119312","029090-0120",1,NA
"11460","001-0119314","638150-0870",1,NA
"11461","001-0119315","228519-0060",1,NA
"11462","001-0119316","276810-0111",1,1
"11463","001-0119317","754980-2360",1,2
"11464","001-0119318","866495-0230",1,NA
"11465","001-0119319","912610-0585",2,NA
"11466","001-0119323","060000-0441",1,NA
"11467","001-0119324","882290-1163",1,NA
"11468","001-0119325","912610-0810",2,NA
"11469","001-0119326","788360-2010",1,NA
"11470","001-0119327","890300-0065",3,NA
"11471","001-0119328","211020-0135",1,NA
"11472","001-0119330","178760-0201",1,NA
"11473","001-0119331","219760-0055",4,1
"11474","001-0119331","219760-0055",4,1
"11475","001-0119331","219760-0055",4,1
"11476","001-0119332","394490-0005",1,NA
"11477","001-0119334","890200-0203",1,NA
"11478","001-0119337","641160-0441",1,NA
"11479","001-0119337","641160-0441",1,NA
"11480","001-0119343","524880-0640",1,NA
"11481","001-0119344","368040-0030",1,NA
"11482","001-0119345","785700-0135",1,NA
"11483","001-0119346","788360-1295",1,NA
"11484","001-0119349","788360-8490",1,NA
"11485","001-0119351","135530-0025",4,NA
"11486","001-0119352","722850-0350",2,NA
"11487","001-0119356","256830-0282",1,NA
"11488","001-0119357","256830-0180",1,NA
"11489","001-0119358","225450-1215",2,1
"11490","001-0119359","912610-0475",2,NA
"11491","001-0119359","912610-0475",2,NA
"11492","001-0119361","678820-0932",1,NA
"11493","001-0119366","794260-1660",1,NA
"11494","001-0119367","912610-0290",3,NA
"11495","001-0119370","788360-2175",1,NA
"11496","001-0119372","684070-1200",1,NA
"11497","001-0119373","431070-0590",1,NA
"11498","001-0119377","679810-0045",1,NA
"11499","001-0119378","769840-0100",1,NA
"11500","001-0119380","918720-0365",4,1
"11501","001-0119381","367940-0765",1,NA
"11502","001-0119382","113300-0343",1,NA
"11503","001-0119383","732790-0980",2,NA
"11504","001-0119385","438320-0010",1,NA
"11505","001-0119387","395940-0420",1,NA
"11506","001-0119388","955020-3140",1,1
"11507","001-0119388","955020-3140",1,1
"11508","001-0119389","305860-0020",1,NA
"11509","001-0119391","687140-0220",1,1
"11510","001-0119392","981870-0535",1,NA
"11511","001-0119393","641210-0176",1,NA
"11512","001-0119394","924190-0255",2,NA
"11513","001-0119395","541410-0390",1,NA
"11514","001-0119399","723460-0015",2,NA
"11515","001-0119401","521800-0320",1,NA
